Discovery Type,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Astrometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,6,6
Disk Kinematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Eclipse Timing Variations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,9,9,9,10,10,11,12,14,14,14,16,17,17,17,17
Imaging,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,10,17,17,23,26,28,35,37,42,44,47,50,54,57,62,66,73,84,92,98
Microlensing,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,8,10,12,13,20,25,31,35,45,55,76,90,110,131,182,212,240,263,281
Orbital Brightness Modulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,6,6,6,6,6,6,9,9,9,9,9,9
Pulsar Timing,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,8,8,8
Pulsation Timing Variations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Radial Velocity,0,0,0,1,7,8,14,27,43,55,83,104,122,155,176,210,246,312,349,398,437,471,519,565,623,671,709,774,820,897,1013,1069,1098,1159,1195
Transit,0,0,0,0,0,0,0,0,0,0,1,1,6,6,11,27,42,60,106,186,280,359,1157,1256,2688,2775,3019,3126,3290,3747,3938,4162,4349,4493,4667
Transit Timing Variations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,15,15,16,17,18,20,21,22,24,28,32,38,40
